,t1=6.6000000000000005
0.0,0.1
0.1,0.11046070526938737
0.2,0.12188590067597138
0.30000000000000004,0.13434024495702532
0.4,0.14788755378149873
0.5,0.16258939941265427
0.6000000000000001,0.17850346070322665
0.7000000000000001,0.19568146607515896
0.8,0.2141669420378724
0.9,0.23399253211455423
1.0,0.2551770396800749
1.1,0.2777222145746552
1.2000000000000002,0.30160928778587853
1.3,0.3267954358444607
1.4000000000000001,0.35321028267345117
1.5,0.38075259067118894
1.6,0.4092873765956537
1.7000000000000002,0.43864371782501194
1.8,0.4686134956039501
1.9000000000000001,0.49895137032127856
2.0,0.5293762518444514
2.1,0.5595744864410198
2.2,0.5892049116375221
2.3000000000000003,0.6179058114832151
2.4000000000000004,0.645303674131843
2.5,0.6710235162460555
2.6,0.6947003627476219
2.7,0.7159913635621448
2.8000000000000003,0.7345876955252949
2.9000000000000004,0.7502259203646723
3.0,0.762697609474623
3.1,0.7718569199991543
3.2,0.7776254465689263
3.3000000000000003,0.7799940981057473
3.4000000000000004,0.7790218928049475
3.5,0.774831827197013
3.6,0.7676041707795327
3.7,0.7575677444463469
3.8000000000000003,0.7449898014048103
3.9000000000000004,0.7301652027123018
4.0,0.7134055469305237
4.1000000000000005,0.6950288383599537
4.2,0.67535016141102
4.3,0.6546736925551857
4.4,0.6332862415552266
4.5,0.6114523845451757
4.6000000000000005,0.589411143060944
4.7,0.5673740807666475
4.800000000000001,0.5455246336215891
4.9,0.5240184596754958
5.0,0.5029845883352466
5.1000000000000005,0.4825271533027898
5.2,0.4627275204503824
5.300000000000001,0.4436466510718128
5.4,0.42532749009799087
5.5,0.4077974383978514
5.6000000000000005,0.39107065667852
5.7,0.3751502274357788
5.800000000000001,0.36003013824467806
5.9,0.3456970508225267
6.0,0.3321318676080216
6.1000000000000005,0.3193110850846587
6.2,0.3072079557614959
6.300000000000001,0.2957934611450682
6.4,0.2850371352211199
6.5,0.2749077283298425
6.6000000000000005,0.25667757170083505
6.7,0.23989494122131
6.8,0.2244533018657522
6.8999999999999995,0.21024962670227437
6.999999999999999,0.19718558499268168
7.099999999999999,0.1851683087570702
7.199999999999998,0.1741107708386834
7.299999999999998,0.16393197343183907
7.399999999999998,0.15455692506117522
7.499999999999997,0.14591650517168658
7.599999999999997,0.13794721466007237
7.699999999999997,0.1305908883307847
7.799999999999996,0.12379436595104751
7.899999999999996,0.11750914823304442
7.999999999999996,0.1116910493759911
8.099999999999994,0.10629985494611964
8.199999999999996,0.10129899309736347
8.299999999999994,0.09665521827322532
8.399999999999995,0.09233832206879933
8.499999999999993,0.08832085687085918
8.599999999999994,0.08457787999041994
8.799999999999999,0.08046439172515216
8.899999999999999,0.07993180410024885
8.999999999999998,0.07948290814927983
9.099999999999998,0.0791121697196336
9.199999999999998,0.07881451334958449
9.299999999999997,0.07858528328584159
9.399999999999997,0.07842018377593378
9.499999999999996,0.0783152459768497
9.599999999999996,0.07826679397539729
9.699999999999996,0.07827141225226837
9.799999999999995,0.07832592553633541
9.899999999999995,0.07842735680299881
9.999999999999995,0.07857291332898568
10.099999999999994,0.07875997695993144
10.199999999999994,0.07898607545747202
10.299999999999994,0.0792488684578896
10.399999999999993,0.07954613558151204
10.499999999999993,0.0798757613037661
10.599999999999993,0.08023572574618465
10.699999999999992,0.0806240940157358
10.799999999999992,0.0810390061503023
10.899999999999991,0.08147866820353898
10.999999999999991,0.08194134916284088
11.09999999999999,0.08242537505123333
11.19999999999999,0.08292911631780744
11.29999999999999,0.08345098851422823
11.39999999999999,0.08398944736826876
11.49999999999999,0.08454298270773124
11.599999999999989,0.08511011800743855
11.699999999999989,0.08568940558771376
11.799999999999988,0.08627942537946805
11.899999999999988,0.08687878236950987
11.999999999999988,0.08748610507749863
12.099999999999987,0.08810004456396502
12.199999999999987,0.08871927277493713
12.299999999999986,0.08934248255402955
12.399999999999986,0.08996838650820627
12.499999999999986,0.09059571735912614
12.599999999999985,0.09122322819315667
