,t1=6.6000000000000005
0.0,0.1
0.1,0.11046070526938737
0.2,0.12188590067597138
0.30000000000000004,0.13434024495702532
0.4,0.14788755378149873
0.5,0.16258939941265427
0.6000000000000001,0.17850346070322665
0.7000000000000001,0.19568146607515896
0.8,0.2141669420378724
0.9,0.23399253211455423
1.0,0.2551770396800749
1.1,0.2777222145746552
1.2000000000000002,0.30160928778587853
1.3,0.3267954358444607
1.4000000000000001,0.35321028267345117
1.5,0.38075259067118894
1.6,0.4092873765956537
1.7000000000000002,0.43864371782501194
1.8,0.4686134956039501
1.9000000000000001,0.49895137032127856
2.0,0.5293762518444514
2.1,0.5595744864410198
2.2,0.5892049116375221
2.3000000000000003,0.6179058114832151
2.4000000000000004,0.645303674131843
2.5,0.6710235162460555
2.6,0.6947003627476219
2.7,0.7159913635621448
2.8000000000000003,0.7345876955252949
2.9000000000000004,0.7502259203646723
3.0,0.762697609474623
3.1,0.7718569199991543
3.2,0.7776254465689263
3.3000000000000003,0.7799940981057473
3.4000000000000004,0.7790218928049475
3.5,0.774831827197013
3.6,0.7676041707795327
3.7,0.7575677444463469
3.8000000000000003,0.7449898014048103
3.9000000000000004,0.7301652027123018
4.0,0.7134055469305237
4.1000000000000005,0.6950288383599537
4.2,0.67535016141102
4.3,0.6546736925551857
4.4,0.6332862415552266
4.5,0.6114523845451757
4.6000000000000005,0.589411143060944
4.7,0.5673740807666475
4.800000000000001,0.5455246336215891
4.9,0.5240184596754958
5.0,0.5029845883352466
5.1000000000000005,0.4825271533027898
5.2,0.4627275204503824
5.300000000000001,0.4436466510718128
5.4,0.42532749009799087
5.5,0.4077974383978514
5.6000000000000005,0.39107065667852
5.7,0.3751502274357788
5.800000000000001,0.36003013824467806
5.9,0.3456970508225267
6.0,0.3321318676080216
6.1000000000000005,0.3193110850846587
6.2,0.3072079557614959
6.300000000000001,0.2957934611450682
6.4,0.2850371352211199
6.5,0.2749077283298425
6.6000000000000005,0.25667757170083505
6.7,0.23989494122131
6.8,0.2244533018657522
6.8999999999999995,0.21024962670227437
6.999999999999999,0.19718558499268168
7.099999999999999,0.1851683087570702
7.199999999999998,0.1741107708386834
7.299999999999998,0.16393197343183907
7.399999999999998,0.15455692506117522
7.499999999999997,0.14591650517168658
7.599999999999997,0.13794721466007237
7.699999999999997,0.1305908883307847
7.799999999999996,0.12379436595104751
7.899999999999996,0.11750914823304442
7.999999999999996,0.1116910493759911
8.099999999999994,0.10629985494611964
8.199999999999996,0.10129899309736347
8.299999999999994,0.09665521827322532
8.399999999999995,0.09233832206879933
8.499999999999993,0.08832085687085918
8.599999999999994,0.08457787999041994
8.699999999999992,0.08108672478690612
8.799999999999994,0.07782678616785159
8.899999999999991,0.07477932381220878
8.999999999999993,0.07192728471201408
9.09999999999999,0.06925514100217836
9.199999999999992,0.06674876234839498
9.29999999999999,0.06439525557279359
9.399999999999991,0.06218286550827244
9.49999999999999,0.060100857217051516
9.59999999999999,0.05813942619364788
9.699999999999989,0.056289607427438756
9.79999999999999,0.05454319781136339
9.899999999999988,0.052892685445176356
9.99999999999999,0.05133118439683333
10.099999999999987,0.049852378316545716
10.199999999999989,0.04845046648740134
10.299999999999986,0.04712012296671359
10.399999999999988,0.04585644472336312
10.499999999999986,0.044654921011224126
10.599999999999987,0.04351139552393865
10.699999999999985,0.04242203517365444
10.799999999999986,0.04138330485793386
10.899999999999984,0.04039193655796686
10.999999999999986,0.039444912427949806
11.099999999999984,0.03853943823061732
11.199999999999985,0.03767292864786431
11.299999999999983,0.03684298733088501
11.399999999999984,0.03604739221209427
11.499999999999982,0.0352840818449614
11.599999999999984,0.03455114064888085
11.8,0.0342935923628075
11.9,0.03475856124834952
12.0,0.03524138887039311
12.1,0.035741781316358
12.2,0.03625945425204906
12.299999999999999,0.03679413211796954
12.399999999999999,0.037345545836380535
12.499999999999998,0.037913430121907864
12.599999999999998,0.038497522141090146
12.699999999999998,0.03909755954330061
